#k-distance eigenvalue[eV]
0.00000000 -35.14340000
0.01642430 -35.14330000
0.03284856 -35.14320000
0.04927286 -35.14310000
0.06569712 -35.14280000
0.08212142 -35.14250000
0.09854568 -35.14220000
0.11496998 -35.14180000
0.13139424 -35.14130000
0.14781854 -35.14070000
0.16424280 -35.14010000
0.18066710 -35.13950000
0.19709137 -35.13870000
0.21351567 -35.13800000
0.22993993 -35.13710000
0.24636423 -35.13630000
0.26278849 -35.13530000
0.27921279 -35.13430000
0.29563705 -35.13330000
0.31206135 -35.13220000
0.32848561 -35.13110000
0.34490991 -35.13000000
0.36133417 -35.12880000
0.37775847 -35.12750000
0.39418273 -35.12630000
0.41060703 -35.12500000
0.42703129 -35.12360000
0.44345559 -35.12230000
0.45987985 -35.12090000
0.47630415 -35.11950000
0.49272841 -35.11810000
0.50915271 -35.12160000
0.52557697 -35.12810000
0.54200127 -35.13460000
0.55842553 -35.14110000
0.57484983 -35.14740000
0.59127410 -35.15380000
0.60769840 -35.16000000
0.62412266 -35.16610000
0.64054696 -35.17210000
0.65697122 -35.17800000
0.67339552 -35.18370000
0.68981978 -35.18920000
0.70624408 -35.19460000
0.72266834 -35.19970000
0.73909264 -35.20470000
0.75551690 -35.20950000
0.77194120 -35.21400000
0.78836546 -35.21830000
0.80478976 -35.22230000
0.82121402 -35.22610000
0.83763832 -35.22970000
0.85406258 -35.23300000
0.87048688 -35.23600000
0.88691114 -35.23870000
0.90333544 -35.24110000
0.91975970 -35.24330000
0.93618400 -35.24520000
0.95260826 -35.24670000
0.96903256 -35.24800000
0.98545683 -35.24900000
1.00188113 -35.24970000
1.01830539 -35.25010000
1.03472969 -35.25020000
1.05115395 -35.25010000
1.06757825 -35.24970000
1.08400251 -35.24900000
1.10042681 -35.24800000
1.11685107 -35.24680000
1.13327537 -35.24540000
1.14969963 -35.24380000
1.16612393 -35.24190000
1.18254819 -35.24000000
1.19897249 -35.23790000
1.21539675 -35.23580000
1.23182105 -35.23370000
1.24824531 -35.23180000
1.26466961 -35.23020000
1.28109387 -35.22910000
1.29751817 -35.22870000
1.29751817 -35.22870000
1.30573032 -35.22880000
1.31394246 -35.22920000
1.32215461 -35.22970000
1.33036674 -35.23030000
1.33857889 -35.23120000
1.34679102 -35.23220000
1.35500318 -35.23330000
1.36321531 -35.23450000
1.37142746 -35.23580000
1.37963959 -35.23720000
1.38785174 -35.23860000
1.39606387 -35.24000000
1.40427603 -35.24150000
1.41248816 -35.24310000
1.42070031 -35.24460000
1.42891244 -35.24620000
1.43712459 -35.24780000
1.44533673 -35.24930000
1.45354888 -35.25090000
1.46176101 -35.25250000
1.46997316 -35.25410000
1.47818529 -35.25560000
1.48639744 -35.25720000
1.49460958 -35.25870000
1.50282173 -35.26030000
1.51103386 -35.26180000
1.51924601 -35.26330000
1.52745814 -35.26480000
1.53567029 -35.26630000
1.54388243 -35.26780000
1.55209458 -35.26920000
1.56030671 -35.27060000
1.56851886 -35.27200000
1.57673099 -35.27340000
1.58494315 -35.27480000
1.59315528 -35.27610000
1.60136743 -35.27740000
1.60957956 -35.27870000
1.61779171 -35.28000000
1.62600384 -35.28120000
1.63421600 -35.28240000
1.64242813 -35.28360000
1.65064028 -35.28480000
1.65885241 -35.28590000
1.66706456 -35.28700000
1.67527669 -35.28810000
1.68348885 -35.28920000
1.69170098 -35.29020000
1.69991313 -35.29120000
1.70812526 -35.29220000
1.71633741 -35.29310000
1.72454955 -35.29400000
1.73276170 -35.29490000
1.74097383 -35.29570000
1.74918598 -35.29650000
1.75739811 -35.29730000
1.76561026 -35.29810000
1.77382240 -35.29880000
1.78203455 -35.29950000
1.79024668 -35.30010000
1.79845883 -35.30080000
1.80667096 -35.30140000
1.81488311 -35.30190000
1.82309525 -35.30240000
1.83130740 -35.30290000
1.83951953 -35.30340000
1.84773168 -35.30380000
1.85594381 -35.30420000
1.86415597 -35.30460000
1.87236810 -35.30490000
1.88058025 -35.30520000
1.88879238 -35.30550000
1.89700453 -35.30570000
1.90521666 -35.30590000
1.91342882 -35.30600000
1.92164095 -35.30610000
1.92985310 -35.30620000
1.93806523 -35.30630000
1.94627738 -35.30630000
1.94627738 -35.30630000
1.96050123 -35.30620000
1.97472511 -35.30580000
1.98894896 -35.30520000
2.00317283 -35.30440000
2.01739668 -35.30330000
2.03162053 -35.30190000
2.04584440 -35.30040000
2.06006826 -35.29860000
2.07429213 -35.29650000
2.08851598 -35.29430000
2.10273983 -35.29180000
2.11696370 -35.28910000
2.13118755 -35.28620000
2.14541140 -35.28300000
2.15963528 -35.27970000
2.17385913 -35.27610000
2.18808300 -35.27240000
2.20230685 -35.26850000
2.21653070 -35.26430000
2.23075457 -35.26000000
2.24497843 -35.25550000
2.25920230 -35.25090000
2.27342615 -35.24610000
2.28765000 -35.24110000
2.30187387 -35.23600000
2.31609772 -35.23070000
2.33032160 -35.22530000
2.34454545 -35.21980000
2.35876930 -35.21420000
2.37299317 -35.20850000
2.38721702 -35.20270000
2.40144089 -35.19680000
2.41566475 -35.19080000
2.42988860 -35.18470000
2.44411247 -35.17860000
2.45833632 -35.17240000
2.47256019 -35.16620000
2.48678404 -35.15990000
2.50100789 -35.15370000
2.51523177 -35.14740000
2.52945562 -35.14110000
2.54367947 -35.13480000
2.55790334 -35.12860000
2.57212719 -35.12240000
2.58635106 -35.11890000
2.60057492 -35.12020000
2.61479877 -35.12130000
2.62902264 -35.12250000
2.64324649 -35.12370000
2.65747036 -35.12480000
2.67169421 -35.12600000
2.68591806 -35.12710000
2.70014194 -35.12810000
2.71436579 -35.12920000
2.72858966 -35.13020000
2.74281351 -35.13120000
2.75703736 -35.13220000
2.77126124 -35.13310000
2.78548509 -35.13400000
2.79970896 -35.13490000
2.81393281 -35.13570000
2.82815666 -35.13650000
2.84238053 -35.13730000
2.85660438 -35.13800000
2.87082826 -35.13870000
2.88505211 -35.13930000
2.89927596 -35.13990000
2.91349983 -35.14040000
2.92772368 -35.14090000
2.94194753 -35.14140000
2.95617141 -35.14180000
2.97039526 -35.14220000
2.98461913 -35.14250000
2.99884298 -35.14270000
3.01306683 -35.14300000
3.02729070 -35.14310000
3.04151455 -35.14330000
3.05573843 -35.14330000
3.06996228 -35.14340000

0.00000000 -34.99040000
0.01642430 -34.99050000
0.03284856 -34.99100000
0.04927286 -34.99190000
0.06569712 -34.99310000
0.08212142 -34.99460000
0.09854568 -34.99650000
0.11496998 -34.99870000
0.13139424 -35.00120000
0.14781854 -35.00400000
0.16424280 -35.00710000
0.18066710 -35.01050000
0.19709137 -35.01420000
0.21351567 -35.01820000
0.22993993 -35.02240000
0.24636423 -35.02690000
0.26278849 -35.03170000
0.27921279 -35.03660000
0.29563705 -35.04180000
0.31206135 -35.04720000
0.32848561 -35.05270000
0.34490991 -35.05850000
0.36133417 -35.06430000
0.37775847 -35.07040000
0.39418273 -35.07650000
0.41060703 -35.08280000
0.42703129 -35.08910000
0.44345559 -35.09550000
0.45987985 -35.10200000
0.47630415 -35.10850000
0.49272841 -35.11500000
0.50915271 -35.11670000
0.52557697 -35.11520000
0.54200127 -35.11380000
0.55842553 -35.11230000
0.57484983 -35.11090000
0.59127410 -35.10940000
0.60769840 -35.10800000
0.62412266 -35.10650000
0.64054696 -35.10510000
0.65697122 -35.10360000
0.67339552 -35.10220000
0.68981978 -35.10080000
0.70624408 -35.09940000
0.72266834 -35.09800000
0.73909264 -35.09670000
0.75551690 -35.09530000
0.77194120 -35.09400000
0.78836546 -35.09280000
0.80478976 -35.09150000
0.82121402 -35.09030000
0.83763832 -35.09130000
0.85406258 -35.09510000
0.87048688 -35.09900000
0.88691114 -35.10280000
0.90333544 -35.10680000
0.91975970 -35.11070000
0.93618400 -35.11470000
0.95260826 -35.11880000
0.96903256 -35.12280000
0.98545683 -35.12690000
1.00188113 -35.13100000
1.01830539 -35.13510000
1.03472969 -35.13920000
1.05115395 -35.14340000
1.06757825 -35.14750000
1.08400251 -35.15160000
1.10042681 -35.15570000
1.11685107 -35.15970000
1.13327537 -35.16370000
1.14969963 -35.16760000
1.16612393 -35.17150000
1.18254819 -35.17520000
1.19897249 -35.17880000
1.21539675 -35.18220000
1.23182105 -35.18530000
1.24824531 -35.18800000
1.26466961 -35.19010000
1.28109387 -35.19150000
1.29751817 -35.19200000
1.29751817 -35.19200000
1.30573032 -35.19190000
1.31394246 -35.19150000
1.32215461 -35.19090000
1.33036674 -35.19000000
1.33857889 -35.18900000
1.34679102 -35.18770000
1.35500318 -35.18630000
1.36321531 -35.18470000
1.37142746 -35.18300000
1.37963959 -35.18120000
1.38785174 -35.17930000
1.39606387 -35.17730000
1.40427603 -35.17530000
1.41248816 -35.17320000
1.42070031 -35.17100000
1.42891244 -35.16880000
1.43712459 -35.16650000
1.44533673 -35.16420000
1.45354888 -35.16190000
1.46176101 -35.15960000
1.46997316 -35.15720000
1.47818529 -35.15480000
1.48639744 -35.15240000
1.49460958 -35.15000000
1.50282173 -35.14760000
1.51103386 -35.14520000
1.51924601 -35.14270000
1.52745814 -35.14030000
1.53567029 -35.13790000
1.54388243 -35.13550000
1.55209458 -35.13310000
