#k-distance eigenvalue[eV]
0.00000000 -36.69510000
0.01090352 -36.69520000
0.02180705 -36.69520000
0.03271053 -36.69530000
0.04361405 -36.69550000
0.05451758 -36.69560000
0.06542110 -36.69590000
0.07632458 -36.69610000
0.08722811 -36.69640000
0.09813163 -36.69680000
0.10903515 -36.69720000
0.11993864 -36.69760000
0.13084216 -36.69810000
0.14174569 -36.69860000
0.15264921 -36.69910000
0.16355269 -36.69970000
0.17445622 -36.70030000
0.18535974 -36.70100000
0.19626326 -36.70170000
0.20716679 -36.70250000
0.21807027 -36.70320000
0.22897379 -36.70400000
0.23987732 -36.70490000
0.25078084 -36.70580000
0.26168432 -36.70670000
0.27258785 -36.70770000
0.28349137 -36.70870000
0.29439489 -36.70970000
0.30529838 -36.71080000
0.31620190 -36.71180000
0.32710542 -36.71300000
0.33800895 -36.71410000
0.34891243 -36.71530000
0.35981595 -36.71650000
0.37071948 -36.71780000
0.38162300 -36.71900000
0.39252652 -36.72030000
0.40343001 -36.72160000
0.41433353 -36.72300000
0.42523706 -36.72430000
0.43614058 -36.72570000
0.44704406 -36.72710000
0.45794759 -36.72860000
0.46885111 -36.73000000
0.47975463 -36.73150000
0.49065812 -36.73290000
0.50156164 -36.73440000
0.51246516 -36.73590000
0.52336869 -36.73750000
0.53427217 -36.73900000
0.54517569 -36.74050000
0.55607922 -36.74210000
0.56698274 -36.74360000
0.57788626 -36.74520000
0.58878975 -36.74680000
0.59969327 -36.74830000
0.61059679 -36.74990000
0.62150032 -36.75150000
0.63240380 -36.75310000
0.64330733 -36.75460000
0.65421085 -36.75620000
0.66511437 -36.75780000
0.67601786 -36.75930000
0.68692138 -36.76090000
0.69782490 -36.76240000
0.70872843 -36.76390000
0.71963191 -36.76550000
0.73053543 -36.76700000
0.74143896 -36.76850000
0.75234248 -36.76990000
0.76324600 -36.77140000
0.77414949 -36.77280000
0.78505301 -36.77430000
0.79595653 -36.77570000
0.80686006 -36.77710000
0.81776354 -36.77840000
0.82866706 -36.77980000
0.83957059 -36.78110000
0.85047411 -36.78240000
0.86137759 -36.78360000
0.87228112 -36.78490000
0.88318464 -36.78610000
0.89408816 -36.78730000
0.90499165 -36.78840000
0.91589517 -36.78960000
0.92679870 -36.79070000
0.93770222 -36.79170000
0.94860574 -36.79280000
0.95950923 -36.79380000
0.97041275 -36.79470000
0.98131627 -36.79570000
0.99221980 -36.79660000
1.00312328 -36.79750000
1.01402680 -36.79830000
