#k-distance eigenvalue[eV]
0.00000000 -35.06200000
0.01658854 -35.06190000
0.03317705 -35.06180000
0.04976559 -35.06170000
0.06635409 -35.06140000
0.08294264 -35.06110000
0.09953114 -35.06070000
0.11611968 -35.06020000
0.13270819 -35.05960000
0.14929673 -35.05900000
0.16588523 -35.05840000
0.18247377 -35.05760000
0.19906228 -35.05680000
0.21565082 -35.05590000
0.23223932 -35.05500000
0.24882787 -35.05400000
0.26541637 -35.05290000
0.28200491 -35.05180000
0.29859342 -35.05070000
0.31518196 -35.04950000
0.33177046 -35.04820000
0.34835901 -35.04690000
0.36494751 -35.04560000
0.38153605 -35.04420000
0.39812456 -35.04270000
0.41471310 -35.04130000
0.43130160 -35.03980000
0.44789015 -35.03830000
0.46447865 -35.03670000
0.48106719 -35.03520000
0.49765570 -35.03360000
0.51424424 -35.03200000
0.53083274 -35.03030000
0.54742129 -35.03720000
0.56400979 -35.04440000
0.58059833 -35.05150000
0.59718683 -35.05860000
0.61377538 -35.06550000
0.63036388 -35.07230000
0.64695242 -35.07900000
0.66354093 -35.08550000
0.68012947 -35.09180000
0.69671797 -35.09800000
0.71330652 -35.10390000
0.72989502 -35.10970000
0.74648356 -35.11520000
0.76307207 -35.12050000
0.77966061 -35.12550000
0.79624911 -35.13030000
0.81283766 -35.13480000
0.82942616 -35.13900000
0.84601470 -35.14300000
0.86260321 -35.14660000
0.87919175 -35.14990000
0.89578025 -35.15300000
0.91236880 -35.15570000
0.92895730 -35.15810000
0.94554584 -35.16010000
0.96213435 -35.16190000
0.97872289 -35.16330000
0.99531139 -35.16440000
1.01189993 -35.16520000
1.02848844 -35.16560000
1.04507698 -35.16570000
1.06166548 -35.16560000
1.07825403 -35.16510000
1.09484253 -35.16430000
1.11143107 -35.16320000
1.12801958 -35.16190000
1.14460812 -35.16030000
1.16119662 -35.15850000
1.17778517 -35.15640000
1.19437367 -35.15420000
1.21096221 -35.15190000
1.22755072 -35.14960000
1.24413926 -35.14720000
1.26072776 -35.14510000
1.27731631 -35.14330000
1.29390481 -35.14210000
1.31049335 -35.14160000
1.31049335 -35.14160000
1.31878762 -35.14170000
1.32708188 -35.14210000
1.33537615 -35.14270000
1.34367040 -35.14340000
1.35196468 -35.14440000
1.36025893 -35.14550000
1.36855320 -35.14670000
1.37684746 -35.14810000
1.38514173 -35.14950000
1.39343598 -35.15110000
1.40173026 -35.15270000
1.41002451 -35.15430000
1.41831878 -35.15600000
1.42661304 -35.15770000
1.43490731 -35.15940000
1.44320156 -35.16120000
1.45149584 -35.16290000
1.45979009 -35.16470000
1.46808436 -35.16640000
1.47637862 -35.16820000
1.48467289 -35.17000000
1.49296714 -35.17170000
1.50126141 -35.17340000
1.50955567 -35.17520000
1.51784994 -35.17690000
1.52614419 -35.17860000
1.53443847 -35.18030000
1.54273272 -35.18190000
1.55102699 -35.18360000
1.55932125 -35.18520000
1.56761552 -35.18680000
1.57590977 -35.18840000
1.58420405 -35.19000000
1.59249830 -35.19150000
1.60079257 -35.19300000
1.60908683 -35.19450000
1.61738110 -35.19600000
1.62567535 -35.19740000
1.63396963 -35.19880000
1.64226388 -35.20020000
1.65055815 -35.20160000
1.65885241 -35.20290000
1.66714668 -35.20420000
1.67544093 -35.20550000
1.68373520 -35.20670000
1.69202946 -35.20790000
1.70032373 -35.20910000
1.70861798 -35.21020000
1.71691226 -35.21130000
1.72520651 -35.21240000
1.73350078 -35.21350000
1.74179504 -35.21450000
1.75008931 -35.21540000
1.75838356 -35.21640000
1.76667784 -35.21730000
1.77497209 -35.21820000
1.78326636 -35.21900000
1.79156062 -35.21980000
1.79985489 -35.22060000
1.80814914 -35.22130000
1.81644342 -35.22200000
1.82473767 -35.22270000
1.83303194 -35.22330000
1.84132619 -35.22390000
1.84962047 -35.22440000
1.85791472 -35.22490000
1.86620899 -35.22540000
1.87450325 -35.22580000
1.88279752 -35.22620000
1.89109177 -35.22660000
1.89938605 -35.22690000
1.90768030 -35.22720000
1.91597457 -35.22750000
1.92426883 -35.22770000
1.93256310 -35.22790000
1.94085735 -35.22800000
1.94915163 -35.22810000
1.95744588 -35.22810000
1.96574015 -35.22820000
1.96574015 -35.22820000
1.98010624 -35.22800000
1.99447235 -35.22760000
2.00883844 -35.22690000
2.02320455 -35.22600000
2.03757064 -35.22480000
2.05193673 -35.22330000
2.06630284 -35.22160000
2.08066893 -35.21960000
2.09503504 -35.21730000
2.10940113 -35.21480000
2.12376722 -35.21210000
2.13813333 -35.20910000
2.15249942 -35.20580000
2.16686551 -35.20230000
2.18123162 -35.19860000
2.19559771 -35.19470000
2.20996383 -35.19050000
2.22432991 -35.18610000
2.23869600 -35.18150000
2.25306212 -35.17680000
2.26742820 -35.17180000
2.28179432 -35.16660000
2.29616041 -35.16120000
2.31052649 -35.15570000
2.32489261 -35.15000000
2.33925870 -35.14420000
2.35362481 -35.13820000
2.36799090 -35.13210000
2.38235699 -35.12580000
2.39672310 -35.11950000
2.41108919 -35.11300000
2.42545530 -35.10640000
2.43982139 -35.09980000
2.45418748 -35.09300000
2.46855359 -35.08620000
2.48291968 -35.07930000
2.49728579 -35.07240000
2.51165188 -35.06550000
