#k-distance eigenvalue[eV]
0.00000000 -35.02700000
0.01675610 -35.02700000
0.03351217 -35.02680000
0.05026827 -35.02660000
0.06702434 -35.02630000
0.08378044 -35.02600000
0.10053650 -35.02550000
0.11729261 -35.02500000
0.13404867 -35.02440000
0.15080478 -35.02370000
0.16756084 -35.02290000
0.18431694 -35.02210000
0.20107301 -35.02120000
0.21782911 -35.02020000
0.23458518 -35.01910000
0.25134128 -35.01800000
0.26809734 -35.01680000
0.28485345 -35.01560000
0.30160951 -35.01430000
0.31836562 -35.01290000
0.33512168 -35.01150000
0.35187778 -35.01000000
0.36863385 -35.00850000
0.38538995 -35.00690000
0.40214602 -35.00530000
0.41890212 -35.00370000
0.43565818 -35.00200000
0.45241429 -35.00030000
0.46917035 -34.99860000
0.48592646 -34.99680000
0.50268252 -34.99500000
0.51943862 -34.99320000
0.53619469 -34.99140000
0.55295079 -34.98950000
0.56970686 -34.99300000
0.58646296 -35.00090000
0.60321902 -35.00870000
0.61997513 -35.01640000
0.63673119 -35.02400000
0.65348730 -35.03140000
0.67024336 -35.03860000
0.68699946 -35.04570000
0.70375553 -35.05250000
0.72051163 -35.05920000
0.73726770 -35.06560000
0.75402380 -35.07170000
0.77077986 -35.07760000
0.78753597 -35.08320000
0.80429203 -35.08850000
0.82104814 -35.09350000
0.83780420 -35.09820000
0.85456030 -35.10250000
0.87131637 -35.10660000
0.88807247 -35.11030000
0.90482854 -35.11360000
0.92158464 -35.11660000
0.93834070 -35.11930000
0.95509681 -35.12160000
0.97185287 -35.12350000
0.98860898 -35.12510000
1.00536504 -35.12630000
1.02212114 -35.12710000
1.03887721 -35.12760000
1.05563331 -35.12770000
1.07238938 -35.12750000
1.08914548 -35.12700000
1.10590154 -35.12610000
1.12265765 -35.12490000
1.13941371 -35.12340000
1.15616982 -35.12160000
1.17292588 -35.11960000
1.18968198 -35.11730000
1.20643805 -35.11490000
1.22319415 -35.11230000
1.23995022 -35.10960000
1.25670632 -35.10700000
1.27346238 -35.10460000
1.29021849 -35.10260000
1.30697455 -35.10120000
1.32373066 -35.10070000
1.32373066 -35.10070000
1.33210871 -35.10080000
1.34048674 -35.10120000
1.34886480 -35.10190000
1.35724283 -35.10270000
1.36562088 -35.10380000
1.37399892 -35.10500000
1.38237697 -35.10640000
1.39075500 -35.10800000
1.39913306 -35.10960000
1.40751109 -35.11130000
1.41588914 -35.11310000
1.42426718 -35.11490000
1.43264523 -35.11680000
1.44102327 -35.11870000
1.44940132 -35.12060000
1.45777935 -35.12260000
1.46615741 -35.12450000
1.47453544 -35.12650000
1.48291349 -35.12850000
1.49129153 -35.13040000
1.49966958 -35.13240000
1.50804761 -35.13430000
1.51642567 -35.13630000
1.52480370 -35.13820000
1.53318176 -35.14010000
1.54155979 -35.14200000
1.54993784 -35.14390000
1.55831588 -35.14580000
1.56669393 -35.14760000
1.57507196 -35.14940000
1.58345002 -35.15120000
1.59182805 -35.15300000
1.60020610 -35.15470000
1.60858414 -35.15640000
1.61696219 -35.15810000
1.62534023 -35.15980000
1.63371828 -35.16140000
1.64209631 -35.16300000
1.65047437 -35.16460000
1.65885240 -35.16610000
1.66723045 -35.16760000
1.67560849 -35.16910000
1.68398654 -35.17060000
1.69236457 -35.17200000
1.70074263 -35.17330000
1.70912066 -35.17470000
1.71749871 -35.17600000
1.72587675 -35.17730000
1.73425480 -35.17850000
1.74263284 -35.17970000
1.75101089 -35.18090000
1.75938892 -35.18200000
1.76776698 -35.18310000
1.77614501 -35.18410000
