#k-distance eigenvalue[eV]
0.00000000 -36.58770000
0.01112380 -36.58770000
0.02224759 -36.58780000
0.03337135 -36.58790000
0.04449515 -36.58810000
0.05561894 -36.58830000
0.06674274 -36.58860000
0.07786650 -36.58890000
0.08899029 -36.58930000
0.10011409 -36.58970000
0.11123788 -36.59010000
0.12236164 -36.59070000
0.13348544 -36.59120000
0.14460923 -36.59180000
0.15573303 -36.59250000
0.16685679 -36.59320000
0.17798058 -36.59400000
0.18910438 -36.59480000
0.20022818 -36.59560000
0.21135197 -36.59650000
0.22247573 -36.59740000
0.23359953 -36.59840000
0.24472332 -36.59940000
0.25584712 -36.60050000
0.26697087 -36.60160000
0.27809467 -36.60280000
0.28921847 -36.60400000
0.30034226 -36.60520000
0.31146602 -36.60650000
0.32258982 -36.60780000
0.33371361 -36.60920000
0.34483741 -36.61060000
0.35596117 -36.61200000
0.36708496 -36.61350000
0.37820876 -36.61500000
0.38933255 -36.61650000
0.40045635 -36.61810000
0.41158011 -36.61970000
0.42270390 -36.62130000
0.43382770 -36.62300000
0.44495150 -36.62470000
0.45607525 -36.62640000
0.46719905 -36.62810000
0.47832285 -36.62990000
0.48944664 -36.63170000
0.50057040 -36.63350000
0.51169420 -36.63530000
0.52281799 -36.63710000
0.53394179 -36.63900000
0.54506555 -36.64090000
0.55618934 -36.64270000
0.56731314 -36.64460000
0.57843693 -36.64650000
0.58956073 -36.64850000
0.60068449 -36.65040000
0.61180828 -36.65230000
0.62293208 -36.65420000
0.63405588 -36.65620000
0.64517963 -36.65810000
0.65630343 -36.66000000
0.66742723 -36.66190000
0.67855102 -36.66390000
0.68967478 -36.66580000
0.70079858 -36.66770000
0.71192237 -36.66960000
0.72304617 -36.67140000
0.73416992 -36.67330000
0.74529372 -36.67520000
0.75641752 -36.67700000
0.76754131 -36.67880000
0.77866511 -36.68060000
0.78978887 -36.68240000
0.80091266 -36.68410000
0.81203646 -36.68590000
0.82316026 -36.68760000
0.83428401 -36.68930000
0.84540781 -36.69090000
0.85653160 -36.69250000
0.86765540 -36.69410000
0.87877916 -36.69570000
0.88990295 -36.69720000
0.90102675 -36.69870000
0.91215055 -36.70010000
0.92327430 -36.70160000
0.93439810 -36.70290000
0.94552190 -36.70430000
0.95664569 -36.70560000
0.96776949 -36.70690000
0.97889325 -36.70810000
0.99001704 -36.70930000
1.00114084 -36.71040000
1.01226463 -36.71150000
1.02338839 -36.71260000
1.03451219 -36.71360000
1.04563598 -36.71460000
1.05675978 -36.71550000
1.06788354 -36.71640000
1.07900733 -36.71730000
1.09013113 -36.71810000
1.10125493 -36.71890000
1.11237868 -36.71960000
1.12350248 -36.72030000
1.13462628 -36.72090000
1.14575007 -36.72160000
1.15687387 -36.72210000
1.16799763 -36.72260000
1.17912142 -36.72310000
1.19024522 -36.72360000
1.20136901 -36.72400000
1.21249277 -36.72430000
1.22361657 -36.72460000
1.23474036 -36.72490000
1.24586416 -36.72520000
1.25698792 -36.72540000
1.26811171 -36.72560000
1.27923551 -36.72570000
1.29035931 -36.72580000
1.30148306 -36.72590000
1.31260686 -36.72600000
1.32373066 -36.72600000
1.32373066 -36.72600000
1.32929255 -36.72600000
1.33485449 -36.72600000
1.34041639 -36.72590000
1.34597829 -36.72590000
1.35154023 -36.72590000
1.35710212 -36.72580000
1.36266402 -36.72580000
1.36822592 -36.72570000
1.37378786 -36.72570000
1.37934976 -36.72560000
1.38491165 -36.72550000
1.39047359 -36.72550000
1.39603549 -36.72540000
1.40159739 -36.72530000
1.40715933 -36.72520000
1.41272122 -36.72510000
1.41828312 -36.72500000
1.42384502 -36.72490000
1.42940696 -36.72470000
1.43496886 -36.72460000
1.44053076 -36.72450000
1.44609269 -36.72440000
1.45165459 -36.72420000
1.45721649 -36.72410000
1.46277843 -36.72390000
1.46834033 -36.72380000
1.47390222 -36.72360000
1.47946412 -36.72350000
1.48502606 -36.72330000
1.49058796 -36.72310000
1.49614986 -36.72290000
1.50171179 -36.72280000
1.50727369 -36.72260000
1.51283559 -36.72240000
1.51839753 -36.72220000
1.52395943 -36.72200000
1.52952132 -36.72180000
1.53508322 -36.72160000
1.54064516 -36.72140000
1.54620706 -36.72120000
1.55176896 -36.72100000
1.55733089 -36.72080000
1.56289279 -36.72060000
1.56845469 -36.72040000
1.57401663 -36.72020000
1.57957853 -36.72000000
1.58514043 -36.71970000
1.59070236 -36.71950000
1.59626426 -36.71930000
1.60182616 -36.71910000
1.60738806 -36.71880000
1.61295000 -36.71860000
1.61851189 -36.71840000
1.62407379 -36.71820000
1.62963573 -36.71790000
1.63519763 -36.71770000
1.64075953 -36.71750000
1.64632146 -36.71720000
1.65188336 -36.71700000
1.65744526 -36.71680000
1.66300716 -36.71650000
1.66856910 -36.71630000
1.67413099 -36.71600000
1.67969289 -36.71580000
1.68525483 -36.71560000
1.69081673 -36.71530000
1.69637863 -36.71510000
1.70194057 -36.71480000
1.70750246 -36.71460000
1.71306436 -36.71440000
1.71862626 -36.71410000
1.72418820 -36.71390000
1.72975010 -36.71360000
1.73531199 -36.71340000
1.74087393 -36.71320000
1.74643583 -36.71290000
1.75199773 -36.71270000
1.75755967 -36.71240000
1.76312156 -36.71220000
1.76868346 -36.71200000
1.77424540 -36.71170000
1.77980730 -36.71150000
1.78536920 -36.71130000
1.79093110 -36.71100000
1.79649303 -36.71080000
1.80205493 -36.71060000
1.80761683 -36.71030000
1.81317877 -36.71010000
1.81874067 -36.70990000
1.82430256 -36.70970000
1.82986450 -36.70940000
1.83542640 -36.70920000
1.84098830 -36.70900000
1.84655020 -36.70880000
1.85211213 -36.70860000
1.85767403 -36.70840000
1.86323593 -36.70810000
1.86879787 -36.70790000
1.87435977 -36.70770000
1.87992166 -36.70750000
1.88548360 -36.70730000
1.89104550 -36.70710000
1.89660740 -36.70690000
1.90216930 -36.70670000
1.90773123 -36.70650000
1.91329313 -36.70630000
1.91885503 -36.70610000
1.92441697 -36.70590000
1.92997887 -36.70570000
1.93554077 -36.70550000
1.94110270 -36.70540000
1.94666460 -36.70520000
1.95222650 -36.70500000
1.95778840 -36.70480000
1.96335034 -36.70460000
1.96891223 -36.70450000
1.97447413 -36.70430000
1.98003607 -36.70410000
1.98559797 -36.70400000
1.98559797 -36.70400000
2.00228366 -36.70450000
2.01896936 -36.70500000
2.03565505 -36.70550000
2.05234075 -36.70610000
2.06902644 -36.70670000
2.08571214 -36.70730000
2.10239783 -36.70790000
2.11908356 -36.70860000
2.13576926 -36.70920000
2.15245495 -36.70990000
2.16914065 -36.71060000
2.18582634 -36.71130000
2.20251204 -36.71200000
2.21919773 -36.71270000
2.23588343 -36.71340000
2.25256912 -36.71410000
2.26925482 -36.71480000
2.28594051 -36.71560000
2.30262620 -36.71630000
2.31931190 -36.71700000
2.33599759 -36.71770000
2.35268329 -36.71840000
2.36936902 -36.71910000
2.38605472 -36.71970000
2.40274041 -36.72040000
2.41942611 -36.72100000
2.43611180 -36.72160000
2.45279749 -36.72220000
2.46948319 -36.72280000
2.48616888 -36.72330000
2.50285458 -36.72380000
2.51954027 -36.72420000
2.53622597 -36.72460000
2.55291166 -36.72500000
2.56959736 -36.72530000
2.58628305 -36.72550000
2.60296875 -36.72570000
2.61965448 -36.72590000
2.63634017 -36.72600000
2.65302587 -36.72600000
2.66971156 -36.72590000
2.68639726 -36.72580000
2.70308295 -36.72560000
2.71976865 -36.72530000
2.73645434 -36.72490000
2.75314004 -36.72450000
2.76982573 -36.72400000
2.78651143 -36.72330000
2.80319712 -36.72260000
2.81988281 -36.72180000
2.83656851 -36.72090000
2.85325420 -36.72000000
2.86993994 -36.71890000
2.88662563 -36.71770000
2.90331133 -36.71640000
2.91999702 -36.71510000
2.93668272 -36.71360000
2.95336841 -36.71210000
2.97005410 -36.71040000
2.98673980 -36.70870000
3.00342549 -36.70690000
3.02011119 -36.70490000
3.03679688 -36.70290000
3.05348258 -36.70090000
3.07016827 -36.69870000
3.08685397 -36.69640000
3.10353970 -36.69410000
3.12022540 -36.69170000
3.13691109 -36.68930000
3.15359678 -36.68670000
3.17028248 -36.68410000
3.18696817 -36.68150000
3.20365387 -36.67880000
3.22033956 -36.67610000
3.23702526 -36.67330000
3.25371095 -36.67050000
3.27039665 -36.66770000
3.28708234 -36.66480000
3.30376804 -36.66190000
3.32045373 -36.65900000
3.33713942 -36.65620000
3.35382516 -36.65330000
3.37051085 -36.65040000
3.38719655 -36.64750000
3.40388224 -36.64460000
3.42056794 -36.64180000
3.43725363 -36.63900000
3.45393933 -36.63620000
3.47062502 -36.63350000
3.48731072 -36.63080000
3.50399641 -36.62810000
3.52068210 -36.62550000
3.53736780 -36.62300000
3.55405349 -36.62050000
3.57073919 -36.61810000
3.58742488 -36.61570000
3.60411062 -36.61350000
3.62079631 -36.61130000
3.63748201 -36.60920000
3.65416770 -36.60720000
3.67085339 -36.60520000
3.68753909 -36.60340000
3.70422478 -36.60160000
3.72091048 -36.60000000
3.73759617 -36.59840000
3.75428187 -36.59700000
3.77096756 -36.59560000
3.78765326 -36.59430000
3.80433895 -36.59320000
3.82102465 -36.59220000
3.83771034 -36.59120000
3.85439607 -36.59040000
3.87108177 -36.58970000
3.88776746 -36.58910000
3.90445316 -36.58860000
3.92113885 -36.58820000
3.93782455 -36.58790000
3.95451024 -36.58780000
3.97119594 -36.58770000

0.00000000 -36.58770000
0.01112380 -36.58770000
0.02224759 -36.58780000
0.03337135 -36.58790000
0.04449515 -36.58810000
0.05561894 -36.58830000
0.06674274 -36.58860000
0.07786650 -36.58890000
0.08899029 -36.58920000
0.10011409 -36.58960000
0.11123788 -36.59010000
0.12236164 -36.59060000
0.13348544 -36.59110000
0.14460923 -36.59170000
0.15573303 -36.59240000
0.16685679 -36.59300000
0.17798058 -36.59370000
0.18910438 -36.59450000
0.20022818 -36.59530000
0.21135197 -36.59620000
0.22247573 -36.59700000
0.23359953 -36.59800000
0.24472332 -36.59890000
0.25584712 -36.59990000
0.26697087 -36.60100000
0.27809467 -36.60210000
0.28921847 -36.60320000
0.30034226 -36.60430000
0.31146602 -36.60550000
0.32258982 -36.60670000
0.33371361 -36.60800000
0.34483741 -36.60920000
0.35596117 -36.61050000
0.36708496 -36.61190000
0.37820876 -36.61320000
0.38933255 -36.61460000
0.40045635 -36.61600000
0.41158011 -36.61750000
0.42270390 -36.61890000
0.43382770 -36.62040000
0.44495150 -36.62190000
0.45607525 -36.62340000
0.46719905 -36.62500000
0.47832285 -36.62650000
0.48944664 -36.62810000
0.50057040 -36.62970000
0.51169420 -36.63130000
0.52281799 -36.63290000
0.53394179 -36.63450000
0.54506555 -36.63610000
0.55618934 -36.63770000
0.56731314 -36.63930000
0.57843693 -36.64100000
0.58956073 -36.64260000
0.60068449 -36.64420000
0.61180828 -36.64580000
0.62293208 -36.64750000
0.63405588 -36.64910000
0.64517963 -36.65070000
0.65630343 -36.65230000
0.66742723 -36.65390000
0.67855102 -36.65550000
0.68967478 -36.65710000
0.70079858 -36.65860000
0.71192237 -36.66020000
0.72304617 -36.66170000
0.73416992 -36.66320000
0.74529372 -36.66470000
0.75641752 -36.66620000
0.76754131 -36.66770000
0.77866511 -36.66910000
0.78978887 -36.67050000
0.80091266 -36.67190000
0.81203646 -36.67320000
0.82316026 -36.67460000
0.83428401 -36.67590000
0.84540781 -36.67710000
0.85653160 -36.67840000
0.86765540 -36.67960000
0.87877916 -36.68080000
0.88990295 -36.68200000
0.90102675 -36.68310000
0.91215055 -36.68420000
0.92327430 -36.68520000
0.93439810 -36.68620000
0.94552190 -36.68720000
0.95664569 -36.68820000
0.96776949 -36.68910000
0.97889325 -36.69000000
0.99001704 -36.69080000
1.00114084 -36.69170000
1.01226463 -36.69240000
1.02338839 -36.69320000
1.03451219 -36.69390000
1.04563598 -36.69460000
1.05675978 -36.69520000
