# energy dos(up) dos(down)
-3.770690000000000452e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.769650000000000034e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.768599999999999994e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.767560000000000286e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.766519999999999868e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.765469999999999828e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.764430000000000121e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.763390000000000413e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.762340000000000373e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.761299999999999955e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.760260000000000247e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.759219999999999828e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.758170000000000499e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.757130000000000081e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.756090000000000373e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.755040000000000333e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.753999999999999915e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.752960000000000207e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.751910000000000167e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.750870000000000459e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.749830000000000041e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.748790000000000333e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.747740000000000293e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.746699999999999875e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.745660000000000167e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.744610000000000127e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.743570000000000420e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.742530000000000001e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.741479999999999961e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.740440000000000254e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.739399999999999835e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.738360000000000127e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.737310000000000088e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.736270000000000380e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.735229999999999961e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.734179999999999922e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.733140000000000214e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.732099999999999795e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.731050000000000466e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.730010000000000048e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.728970000000000340e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.727929999999999922e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.726879999999999882e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.725840000000000174e+01 0.000000000000000000e+00 -0.000000000000000000e+00
-3.724800000000000466e+01 0.000000000000000000e+00 -0.000000000000000000e+00
